id;denomination;vat_code;web_site;notes;date_added;date_expire;state;date_state;notes_state
1;Strategist SDD;functionalities;compressing;Bedfordshire;2019-05-09T22:52:30;2019-05-09T18:27:23;EVALUATING;2019-05-09T18:08:17;Intelligent
2;Zambian Kwacha intuitive;Bedfordshire;portal calculating Metal;real-time discrete redundant;2019-05-09T12:22:37;2019-05-10T01:40:14;EVALUATING;2019-05-09T16:45:01;olive Handcrafted Cotton Bacon Unbranded Fresh Pants
3;incubate;interfaces;Garden Dale Wallis and Futuna;generating;2019-05-09T11:10:12;2019-05-10T07:05:15;EVALUATING;2019-05-09T23:10:30;Plastic South Georgia and the South Sandwich Islands
4;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;2019-05-10T01:19:10;2019-05-09T21:24:54;EVALUATING;2019-05-10T03:23:44;Refined infomediaries Som
5;Salad;ROI;Benin;Tuna Response invoice;2019-05-09T19:25:08;2019-05-09T14:06:37;EVALUATING;2019-05-09T21:44:57;Organic
6;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;2019-05-09T21:24:26;2019-05-09T16:13:30;EVALUATING;2019-05-10T01:33:29;Kids Optimization
7;EXE payment;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;2019-05-10T04:44:08;2019-05-09T20:49:18;EVALUATING;2019-05-09T08:45:04;Dynamic black
8;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;2019-05-10T04:59:01;2019-05-09T15:11:25;EVALUATING;2019-05-09T08:35:52;China
9;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;2019-05-10T02:06:07;2019-05-10T05:20:40;EVALUATING;2019-05-09T11:59:05;encoding Direct
10;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;2019-05-09T23:55:54;2019-05-09T18:31:51;EVALUATING;2019-05-10T05:05:47;Optimization
